TK NEGERI KEBUN JERUK 01,-6.198185023879764,106.76455958204949
TK ABCDE,-6.205411428328345,106.77081595733667
TK AL - ANSHAR,-6.194551121109824,106.7797255473461
TK AL ALIYAH,-6.212426047388581,106.76885456765399
TK AL HIKAM,-6.2117663270718,106.76816281539749
TK AL ISLAMIYAH,-6.224837438453317,106.77793194199467
TK AL KAMAL,-6.186639195888583,106.76049952501964
TK AMARILIS,-6.205972233026987,106.77585903147384
TK AN NURMANIAH,-6.219891906960672,106.77446960642129
TK An-nisaa,-6.224143755310572,106.77726514307601
TK ANGELA BUNDA,-6.1691673081805956,106.76933269356752
TK ARRIFDAH,-6.1914553174884,106.77010190755563
TK Ash Sholihin (Jakarta Selatan),-6.270627945913401,106.85346683098139
TK ASSYIFA DJOHAR,-6.205358653515783,106.77654997623631
TK AULIA,-6.210743897650067,106.7672764426491
TK BINA BANGSA SCHOOL,-6.18822878289192,106.78136453397686
TK BINTANG KECIL (temporarily closed),-6.213302561802631,106.78902107164654
TK BRIGHT STARS,-6.187841166257081,106.76538650493357
TK DARUL UCHWAH (pesantren),-6.182077475216246,106.76565180135138
TK DEWI SARTIKA (II),-6.148223066609347,106.73544552943035
TK DHARMA BANGSA,-6.167142343853172,106.7787163309048
TK EKA RIA,-6.200285986333278,106.76618236480383
TK HAPPY HOLY KIDS,-6.191640057612866,106.76237846891311
TK HIDAYATUN NURUL BELAWA,-6.221423211444445,106.77834269788386
TK IKAL II,-6.217277720223876,106.77162384347196
TK IPEKA TOMANG,-6.172611026464687,106.77733221550946
TK ISLAM AL BARKAH,-6.15967377245114,106.7622613715841
TK ISLAM AL ISHLAH,-6.190945247653044,106.77520370927004
TK ISLAM DARUSALLAM (PAUD),-6.2083571604869086,106.76009538993569
TK ISLAM NUR UMMI,-6.214783844599224,106.76840003629259
TK ISLAM NURUZZAHRA,-6.196241097038055,106.76592898384226
TK ISLAM YASIRU (yasiru),-6.220132686621384,106.76807849943312
TK KALAM KUDUS II,-6.169119907720256,106.71710219528116
TK KARTINI,-6.211079165803054,106.78189435013795
TK KEMALA BHAYANGKARI 5 (temporarily closed),-6.159453031988007,106.76745808446442
TK KEMURNIAN II,-6.168533540831758,106.77941002065197
TK Kristen Lemuel II,-6.217622494498246,106.76618807028507
TK KRISTEN XI PENABUR,-6.175170776661107,106.76233992498182
TK LITTLE GIANTS,-6.1721174375257375,106.77794990998599
TK MUJAHIDIN,-6.180024457961151,106.76490229287795
TK MUTIARA,-6.192738446231678,106.781415483567
TK NUR BALITA (TK Nur Intan),-6.2161873802763346,106.7601657394468
TK PELITA II,-6.1199288344705005,106.71416868823404
TK PERSIWA I BPK,-6.144458960244183,106.78640315091337
TK PROVIDENTIA,-6.166096187820526,106.76364854459386
TK PUTRA LESTARI (Daycare),-6.198093360164396,106.77319190954911
TK Raudhatussurur (temporarily closed - Ra/TK Islam Raudhatussubur),-6.154921791212102,106.72630378198265
TK RISANTI II,-6.199108293745197,106.77375801654054
TK Salwa Islamic School,-6.178589953051356,106.75685254820841
TK SANG TIMUR,-6.190002997570065,106.7797805874561
TK SANTO ANDREAS,-6.1686670150363465,106.75942110261833
TK SATRIA,-6.204717965498284,106.76740697610673
TK Tarsisius II,-6.199585617547969,106.78218576465025
TK Terang Tugava (temporarily closed),-6.192990690955543,106.7608196563475
TK Tunas Bangsa greenvile,-6.171144116091638,106.77563568433082
TK WESTIN SCHOOL,-6.16931901225468,106.77632058730684
TK WIDURI JAYA (SD),-6.177636640359751,106.77148210489771
TKS TUNAS MUDA X IKKT (Hankam),-6.21557480929948,106.77636167880162
KB NEGERI 30 DURI KEPA,-6.184842398453894,106.77320399141722
KB NEGERI 38 KEBON JERUK,-6.19817777363442,106.7672984458595
KB PAUD HARAPAN AYAH BUNDA (temporarily closed),-6.18162133427764,106.77592887792024
KB PERMATA BUNDA PLUS (temporarily closed),-6.200720405542037,106.76991504771368
PAUD AL GHIFARI (permanently closed),-6.202112034521195,106.77208605087961
PAUD AL IRSYAD,-6.196049532405588,106.77595585972344
PAUD Assyifa Plus,-6.209343491661561,106.77268225684489
PAUD ASYA IRIAH,-6.202358486221782,106.7683912562174
Paud Bugenvil (temporarily closed),-6.171534064911108,106.78489592954149
PAUD Bunda,-6.207665598193749,106.77475579634736
PAUD CITRA BINAR RAHMA,-6.18659193329104,106.7749363495351
PAUD Flamboyan (Persima),-6.158677253197962,106.80068677167367
PAUD Kenanga (temporarily closed),-6.19764768766945,106.7803106152141
PAUD MELATI 05,-6.14785852113521,106.73328606584748
PAUD Mirajaya Lestari,-6.203505235013082,106.77655757684836
PAUD TWINKLE STARS EARLY CHILDHOOD EDUCATION CENTER,-6.169660450767651,106.77412390462982
TPA NEGERI BINA TUNAS JAYA XIX (II),-6.24099346142373,106.79129969878342
TPA PUTRA LESTARI,-6.198096000764249,106.77319276896465
PAUD Al-Baari,-6.210419815821879,106.76687322237436
PAUD Anggrek VIII (temporarily closed),-6.178859625511829,106.77767661540544
PAUD ANSERA (temporarily closed),-6.211906420595813,106.76832407888294
PAUD Ar-Rahmah,-6.199127919689247,106.77890145573367
PAUD Assaman,-6.1736144738183505,106.7719086658753
PAUD BINA UMMAH,-6.196128139260234,106.76760065220151
PAUD Biru Bangsa,-6.223942997599661,106.77161898187488
PAUD BOUGENVILLE,-6.23625315072917,106.78810357775276
PAUD Ceria,-6.193424952792455,106.76960035240921
PAUD GARUDA,-6.179173758646421,106.76427460567785
PAUD Heeryn (permanently closed),-6.176445535031596,106.75391607102527
PAUD MAWAR,-6.127943524623446,106.72052124244408
PAUD MELATI 04,-6.154805236668411,106.76875524837368
PAUD MUSLIMAT NU ASSOVA,-6.211731107465823,106.78008757883983
PAUD Nurul Amanah,-6.219861124359274,106.76905534887065
PAUD Tunas Melati,-6.20173408640797,106.73901090389343
SPS BKB PAUD MATAHARI (Jakarta Selatan),-6.229368948654975,106.83521434689106
SPS PAUD ALMA,-6.1787388251721085,106.75502622224793
SPS PAUD NUR UMMIYYAH,-6.176954686851509,106.75645335864934
SPS PAUD NUSA INDAH 04,-6.173701144987024,106.76842423960846
SPS PAUD TUNAS DUA TUJUH,-6.226138642898562,106.76866416619971
KB Bina Bangsa School,-6.188228611512603,106.78136398319467
Kinderland KB,-6.169414415568142,106.76398259478046
TK KINDERLAND,-6.169434513456482, 106.76393285037182
TK Tunas Muda (II IKKT),-6.228082945878038,106.77678424997183